SINGLE TISSUE, FREQUENCY RANGE
TISSUE: CerebroSpinalFluid

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
CerebroSpinalFluid    1.0709e+10     1.6725e+1     5.1100e+1  
CerebroSpinalFluid    1.0776e+10     1.6853e+1     5.0975e+1  
CerebroSpinalFluid    1.0843e+10     1.6980e+1     5.0851e+1  
CerebroSpinalFluid    1.0910e+10     1.7108e+1     5.0727e+1  
CerebroSpinalFluid    1.0978e+10     1.7236e+1     5.0603e+1  
CerebroSpinalFluid    1.1045e+10     1.7363e+1     5.0479e+1  
CerebroSpinalFluid    1.1112e+10     1.7491e+1     5.0355e+1  
CerebroSpinalFluid    1.1179e+10     1.7619e+1     5.0232e+1  
CerebroSpinalFluid    1.1246e+10     1.7747e+1     5.0109e+1  
CerebroSpinalFluid    1.1313e+10     1.7874e+1     4.9986e+1  
CerebroSpinalFluid    1.1381e+10     1.8002e+1     4.9864e+1  
CerebroSpinalFluid    1.1448e+10     1.8129e+1     4.9741e+1  
CerebroSpinalFluid    1.1515e+10     1.8257e+1     4.9619e+1  
CerebroSpinalFluid    1.1582e+10     1.8384e+1     4.9497e+1  
CerebroSpinalFluid    1.1649e+10     1.8512e+1     4.9375e+1  
CerebroSpinalFluid    1.1716e+10     1.8639e+1     4.9254e+1  
CerebroSpinalFluid    1.1784e+10     1.8766e+1     4.9133e+1  
CerebroSpinalFluid    1.1851e+10     1.8894e+1     4.9012e+1  
CerebroSpinalFluid    1.1918e+10     1.9021e+1     4.8891e+1  
CerebroSpinalFluid    1.1985e+10     1.9148e+1     4.8771e+1  
CerebroSpinalFluid    1.2052e+10     1.9275e+1     4.8650e+1  
CerebroSpinalFluid    1.2119e+10     1.9402e+1     4.8531e+1  
CerebroSpinalFluid    1.2187e+10     1.9529e+1     4.8411e+1  
CerebroSpinalFluid    1.2254e+10     1.9656e+1     4.8291e+1  
CerebroSpinalFluid    1.2321e+10     1.9782e+1     4.8172e+1  
CerebroSpinalFluid    1.2388e+10     1.9909e+1     4.8053e+1  
CerebroSpinalFluid    1.2455e+10     2.0035e+1     4.7935e+1  
CerebroSpinalFluid    1.2522e+10     2.0162e+1     4.7817e+1  
CerebroSpinalFluid    1.2590e+10     2.0288e+1     4.7698e+1  
CerebroSpinalFluid    1.2657e+10     2.0414e+1     4.7581e+1  
CerebroSpinalFluid    1.2724e+10     2.0540e+1     4.7463e+1  
CerebroSpinalFluid    1.2791e+10     2.0666e+1     4.7346e+1  
CerebroSpinalFluid    1.2858e+10     2.0792e+1     4.7229e+1  
CerebroSpinalFluid    1.2925e+10     2.0918e+1     4.7112e+1  
