SINGLE TISSUE, FREQUENCY RANGE
TISSUE: BoneCortical

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
BoneCortical           9.0299e+9     1.9183e+0     8.4301e+0  
BoneCortical           9.0970e+9     1.9336e+0     8.4078e+0  
BoneCortical           9.1642e+9     1.9489e+0     8.3856e+0  
BoneCortical           9.2313e+9     1.9641e+0     8.3635e+0  
BoneCortical           9.2985e+9     1.9793e+0     8.3415e+0  
BoneCortical           9.3657e+9     1.9944e+0     8.3197e+0  
BoneCortical           9.4328e+9     2.0096e+0     8.2980e+0  
BoneCortical           9.5000e+9     2.0246e+0     8.2764e+0  
BoneCortical           9.5672e+9     2.0397e+0     8.2550e+0  
BoneCortical           9.6343e+9     2.0547e+0     8.2337e+0  
BoneCortical           9.7015e+9     2.0697e+0     8.2125e+0  
BoneCortical           9.7687e+9     2.0846e+0     8.1914e+0  
BoneCortical           9.8358e+9     2.0996e+0     8.1704e+0  
BoneCortical           9.9030e+9     2.1144e+0     8.1496e+0  
BoneCortical           9.9701e+9     2.1293e+0     8.1289e+0  
BoneCortical          1.0037e+10     2.1441e+0     8.1083e+0  
BoneCortical          1.0104e+10     2.1589e+0     8.0878e+0  
BoneCortical          1.0172e+10     2.1736e+0     8.0675e+0  
BoneCortical          1.0239e+10     2.1883e+0     8.0473e+0  
BoneCortical          1.0306e+10     2.2029e+0     8.0271e+0  
BoneCortical          1.0373e+10     2.2176e+0     8.0071e+0  
BoneCortical          1.0440e+10     2.2322e+0     7.9873e+0  
BoneCortical          1.0507e+10     2.2467e+0     7.9675e+0  
BoneCortical          1.0575e+10     2.2612e+0     7.9478e+0  
BoneCortical          1.0642e+10     2.2757e+0     7.9283e+0  
BoneCortical          1.0709e+10     2.2902e+0     7.9089e+0  
BoneCortical          1.0776e+10     2.3046e+0     7.8895e+0  
BoneCortical          1.0843e+10     2.3189e+0     7.8703e+0  
BoneCortical          1.0910e+10     2.3333e+0     7.8512e+0  
BoneCortical          1.0978e+10     2.3476e+0     7.8323e+0  
BoneCortical          1.1045e+10     2.3618e+0     7.8134e+0  
BoneCortical          1.1112e+10     2.3760e+0     7.7946e+0  
BoneCortical          1.1179e+10     2.3902e+0     7.7759e+0  
BoneCortical          1.1246e+10     2.4044e+0     7.7574e+0  
BoneCortical          1.1313e+10     2.4185e+0     7.7389e+0  
BoneCortical          1.1381e+10     2.4325e+0     7.7206e+0  
BoneCortical          1.1448e+10     2.4466e+0     7.7024e+0  
BoneCortical          1.1515e+10     2.4606e+0     7.6842e+0  
BoneCortical          1.1582e+10     2.4745e+0     7.6662e+0  
BoneCortical          1.1649e+10     2.4884e+0     7.6483e+0  
BoneCortical          1.1716e+10     2.5023e+0     7.6304e+0  
BoneCortical          1.1784e+10     2.5162e+0     7.6127e+0  
BoneCortical          1.1851e+10     2.5300e+0     7.5951e+0  
BoneCortical          1.1918e+10     2.5437e+0     7.5776e+0  
BoneCortical          1.1985e+10     2.5575e+0     7.5601e+0  
BoneCortical          1.2052e+10     2.5711e+0     7.5428e+0  
BoneCortical          1.2119e+10     2.5848e+0     7.5256e+0  
BoneCortical          1.2187e+10     2.5984e+0     7.5084e+0  
BoneCortical          1.2254e+10     2.6120e+0     7.4914e+0  
