SINGLE TISSUE, FREQUENCY RANGE
TISSUE: SpinalCord

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
SpinalCord            1.1112e+10     6.8896e+0     2.2916e+1  
SpinalCord            1.1179e+10     6.9415e+0     2.2865e+1  
SpinalCord            1.1246e+10     6.9935e+0     2.2814e+1  
SpinalCord            1.1313e+10     7.0454e+0     2.2763e+1  
SpinalCord            1.1381e+10     7.0973e+0     2.2712e+1  
SpinalCord            1.1448e+10     7.1491e+0     2.2662e+1  
SpinalCord            1.1515e+10     7.2010e+0     2.2611e+1  
SpinalCord            1.1582e+10     7.2528e+0     2.2560e+1  
SpinalCord            1.1649e+10     7.3046e+0     2.2510e+1  
SpinalCord            1.1716e+10     7.3564e+0     2.2460e+1  
SpinalCord            1.1784e+10     7.4081e+0     2.2410e+1  
SpinalCord            1.1851e+10     7.4599e+0     2.2360e+1  
SpinalCord            1.1918e+10     7.5116e+0     2.2310e+1  
SpinalCord            1.1985e+10     7.5632e+0     2.2260e+1  
SpinalCord            1.2052e+10     7.6148e+0     2.2210e+1  
SpinalCord            1.2119e+10     7.6664e+0     2.2161e+1  
SpinalCord            1.2187e+10     7.7180e+0     2.2112e+1  
SpinalCord            1.2254e+10     7.7695e+0     2.2062e+1  
SpinalCord            1.2321e+10     7.8210e+0     2.2013e+1  
SpinalCord            1.2388e+10     7.8724e+0     2.1964e+1  
SpinalCord            1.2455e+10     7.9238e+0     2.1915e+1  
SpinalCord            1.2522e+10     7.9752e+0     2.1866e+1  
SpinalCord            1.2590e+10     8.0265e+0     2.1818e+1  
SpinalCord            1.2657e+10     8.0777e+0     2.1769e+1  
SpinalCord            1.2724e+10     8.1290e+0     2.1721e+1  
SpinalCord            1.2791e+10     8.1801e+0     2.1672e+1  
SpinalCord            1.2858e+10     8.2312e+0     2.1624e+1  
SpinalCord            1.2925e+10     8.2823e+0     2.1576e+1  
SpinalCord            1.2993e+10     8.3333e+0     2.1528e+1  
SpinalCord            1.3060e+10     8.3843e+0     2.1480e+1  
SpinalCord            1.3127e+10     8.4352e+0     2.1432e+1  
SpinalCord            1.3194e+10     8.4860e+0     2.1385e+1  
SpinalCord            1.3261e+10     8.5368e+0     2.1337e+1  
SpinalCord            1.3328e+10     8.5876e+0     2.1290e+1  
SpinalCord            1.3396e+10     8.6383e+0     2.1243e+1  
SpinalCord            1.3463e+10     8.6889e+0     2.1196e+1  
SpinalCord            1.3530e+10     8.7394e+0     2.1149e+1  
SpinalCord            1.3597e+10     8.7899e+0     2.1102e+1  
SpinalCord            1.3664e+10     8.8404e+0     2.1055e+1  
SpinalCord            1.3731e+10     8.8908e+0     2.1009e+1  
SpinalCord            1.3799e+10     8.9411e+0     2.0963e+1  
SpinalCord            1.3866e+10     8.9913e+0     2.0916e+1  
SpinalCord            1.3933e+10     9.0415e+0     2.0870e+1  
SpinalCord            1.4000e+10     9.0916e+0     2.0824e+1  
