SINGLE TISSUE, FREQUENCY RANGE
TISSUE: Fat

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
Fat                   1.0910e+10     6.5030e-1     4.5344e+0  
Fat                   1.0978e+10     6.5510e-1     4.5295e+0  
Fat                   1.1045e+10     6.5989e-1     4.5246e+0  
Fat                   1.1112e+10     6.6468e-1     4.5197e+0  
Fat                   1.1179e+10     6.6947e-1     4.5149e+0  
Fat                   1.1246e+10     6.7426e-1     4.5101e+0  
Fat                   1.1313e+10     6.7904e-1     4.5052e+0  
Fat                   1.1381e+10     6.8383e-1     4.5005e+0  
Fat                   1.1448e+10     6.8861e-1     4.4957e+0  
Fat                   1.1515e+10     6.9339e-1     4.4909e+0  
Fat                   1.1582e+10     6.9817e-1     4.4862e+0  
Fat                   1.1649e+10     7.0294e-1     4.4814e+0  
Fat                   1.1716e+10     7.0771e-1     4.4767e+0  
Fat                   1.1784e+10     7.1248e-1     4.4720e+0  
Fat                   1.1851e+10     7.1725e-1     4.4673e+0  
Fat                   1.1918e+10     7.2201e-1     4.4627e+0  
Fat                   1.1985e+10     7.2677e-1     4.4580e+0  
Fat                   1.2052e+10     7.3153e-1     4.4534e+0  
Fat                   1.2119e+10     7.3628e-1     4.4487e+0  
Fat                   1.2187e+10     7.4103e-1     4.4441e+0  
Fat                   1.2254e+10     7.4578e-1     4.4396e+0  
Fat                   1.2321e+10     7.5053e-1     4.4350e+0  
Fat                   1.2388e+10     7.5527e-1     4.4304e+0  
Fat                   1.2455e+10     7.6001e-1     4.4259e+0  
Fat                   1.2522e+10     7.6474e-1     4.4213e+0  
Fat                   1.2590e+10     7.6947e-1     4.4168e+0  
Fat                   1.2657e+10     7.7420e-1     4.4123e+0  
Fat                   1.2724e+10     7.7892e-1     4.4078e+0  
Fat                   1.2791e+10     7.8364e-1     4.4034e+0  
Fat                   1.2858e+10     7.8835e-1     4.3989e+0  
Fat                   1.2925e+10     7.9306e-1     4.3945e+0  
Fat                   1.2993e+10     7.9777e-1     4.3901e+0  
Fat                   1.3060e+10     8.0247e-1     4.3857e+0  
Fat                   1.3127e+10     8.0717e-1     4.3813e+0  
Fat                   1.3194e+10     8.1186e-1     4.3769e+0  
Fat                   1.3261e+10     8.1655e-1     4.3725e+0  
Fat                   1.3328e+10     8.2124e-1     4.3682e+0  
Fat                   1.3396e+10     8.2592e-1     4.3639e+0  
Fat                   1.3463e+10     8.3059e-1     4.3595e+0  
Fat                   1.3530e+10     8.3526e-1     4.3552e+0  
Fat                   1.3597e+10     8.3993e-1     4.3509e+0  
Fat                   1.3664e+10     8.4459e-1     4.3467e+0  
Fat                   1.3731e+10     8.4925e-1     4.3424e+0  
Fat                   1.3799e+10     8.5390e-1     4.3382e+0  
Fat                   1.3866e+10     8.5855e-1     4.3339e+0  
Fat                   1.3933e+10     8.6319e-1     4.3297e+0  
Fat                   1.4000e+10     8.6783e-1     4.3255e+0  
