#"Frequency / GHz"	"S1,1 (tcoupling=4) [Magnitude / dB]"
#-------------------------------------------------------
1.2710000276566	-4.1514293559821
1.2740000486374	-4.1790495889263
1.2769999504089	-4.2070343920520
1.2799999713898	-4.2353886531795
1.2829999923706	-4.2641174376637
1.2860000133514	-4.2932278709887
1.2890000343323	-4.3227223559258
1.2920000553131	-4.3526064697476
1.2949999570847	-4.3828855203488
1.2979999780655	-4.4135627619786
1.3009999990463	-4.4446439961890
1.3040000200272	-4.4761307394991
1.3070000410080	-4.5080272617129
1.3099999427795	-4.5403371363339
1.3129999637604	-4.5730618265989
1.3159999847412	-4.6062069850160
1.3190000057220	-4.6397698378341
1.3220000267029	-4.6737573298933
1.3250000476837	-4.7081682485013
1.3279999494553	-4.7430034710779
1.3309999704361	-4.7782665496465
1.3339999914169	-4.8139548859990
1.3370000123978	-4.8500690426088
1.3400000333786	-4.8866103805169
1.3430000543594	-4.9235772328241
1.3459999561310	-4.9609664850931
1.3489999771118	-4.9987778516739
1.3519999980927	-5.0370083254122
1.3550000190735	-5.0756581173555
1.3580000400543	-5.1147190197673
1.3609999418259	-5.1541904376142
1.3639999628067	-5.1940695368316
1.3669999837875	-5.2343476880025
1.3700000047684	-5.2750220020781
1.3730000257492	-5.3160851795883
1.3760000467300	-5.3575297307912
1.3789999485016	-5.3993511624163
1.3819999694824	-5.4415391842982
1.3849999904633	-5.4840862846623
1.3880000114441	-5.5269820028853
1.3910000324249	-5.5702167054605
1.3940000534058	-5.6137805969947
1.3969999551773	-5.6576604077736
1.3999999761581	-5.7018460953081
1.4029999971390	-5.7463228333892
1.4060000181198	-5.7910767265164
1.4090000391006	-5.8360932915993
1.4119999408722	-5.8813575681383
1.4149999618530	-5.9268512990997
1.4179999828339	-5.9725602290682
1.4210000038147	-6.0184623723750
1.4240000247955	-6.0645430604313
1.4270000457764	-6.1107796942992
1.4299999475479	-6.1571504705636
1.4329999685287	-6.2036339824478
1.4359999895096	-6.2502071641904
1.4390000104904	-6.2968475680731
1.4420000314713	-6.3435291041806
1.4450000524521	-6.3902253813443
1.4479999542236	-6.4369112658849
1.4509999752045	-6.4835589065194
1.4539999961853	-6.5301364701835
1.4570000171661	-6.5766180089400
1.4600000381470	-6.6229703561322
1.4630000591278	-6.6691629263300
1.4659999608994	-6.7151624236634
1.4689999818802	-6.7609348791712
1.4720000028610	-6.8064476341485
1.4750000238419	-6.8516641506516
1.4780000448227	-6.8965494310510
1.4809999465942	-6.9410656554137
1.4839999675751	-6.9851749158738
1.4869999885559	-7.0288395929531
1.4900000095367	-7.0720215395605
1.4930000305176	-7.1146802847778
1.4960000514984	-7.1567754470774
1.4989999532700	-7.1982688035481
1.5019999742508	-7.2391176267260
1.5049999952316	-7.2792823088739
1.5080000162125	-7.3187212396527
1.5110000371933	-7.3573942405345
1.5140000581741	-7.3952598990249
1.5169999599457	-7.4322761939890
1.5199999809265	-7.4684045514615
1.5230000019073	-7.5036033879548
1.5260000228882	-7.5378339589331
1.5290000438690	-7.5710559590355
1.5319999456406	-7.6032333665296
1.5349999666214	-7.6343274640686
1.5379999876022	-7.6643032734797
1.5410000085831	-7.6931247317932
1.5440000295639	-7.7207584368710
1.5470000505447	-7.7471717380815
1.5499999523163	-7.7723354373144
1.5529999732971	-7.7962181416580
1.5559999942780	-7.8187952601190
1.5590000152588	-7.8400401468936
1.5620000362396	-7.8599312441929
1.5650000572205	-7.8784467029187
1.5679999589920	-7.8955686159138
1.5709999799728	-7.9112779583259
1.5740000009537	-7.9255638439293
1.5770000219345	-7.9384163559553
1.5800000429153	-7.9498219416303
1.5829999446869	-7.9597790146695
1.5859999656677	-7.9682829348209
1.5889999866486	-7.9753336148897
1.5920000076294	-7.9809319853687
1.5950000286102	-7.9850843062370
1.5980000495911	-7.9877964505975
1.6009999513626	-7.9890797924832
1.6039999723434	-7.9889470211364
1.6069999933243	-7.9874142423249
1.6100000143051	-7.9844982282447
1.6130000352859	-7.9802202532085
1.6160000562668	-7.9746040719484
1.6189999580383	-7.9676738686417
1.6219999790192	-7.9594569916018
1.6250000000000	-7.9499832905748
1.6280000209808	-7.9392850131255
1.6310000419617	-7.9273957445256
1.6339999437332	-7.9143490051980
1.6369999647141	-7.9001833360411
1.6399999856949	-7.8849365241891
1.6430000066757	-7.8686467191997
1.6460000276566	-7.8513573411995
1.6490000486374	-7.8331081458420
1.6519999504089	-7.8139442302476
1.6549999713898	-7.7939080517141
1.6579999923706	-7.7730438030253
1.6610000133514	-7.7513969319770
1.6640000343323	-7.7290145556238
1.6670000553131	-7.7059390629236
1.6699999570847	-7.6822195137065
1.6729999780655	-7.6578995140212
1.6759999990463	-7.6330273736541
1.6790000200272	-7.6076471706129
1.6820000410080	-7.5818051609273
1.6849999427795	-7.5555474884789
1.6879999637604	-7.5289176435366
1.6909999847412	-7.5019610599692
1.6940000057220	-7.4747214076682
1.6970000267029	-7.4472424811024
1.7000000476837	-7.4195672755355
1.7029999494553	-7.3917370569997
1.7059999704361	-7.3637919394611
1.7089999914169	-7.3357739605224
1.7120000123978	-7.3077225315060
1.7150000333786	-7.2796759040191
1.7180000543594	-7.2516718439126
1.7209999561310	-7.2237456913544
1.7239999771118	-7.1959355693351
1.7269999980927	-7.1682751474720
1.7300000190735	-7.1407977058967
1.7330000400543	-7.1135364772890
1.7359999418259	-7.0865239828958
1.7389999628067	-7.0597894219119
1.7419999837875	-7.0333641322049
1.7450000047684	-7.0072757975992
1.7480000257492	-6.9815530078379
1.7510000467300	-6.9562210160444
1.7539999485016	-6.9313068489701
1.7569999694824	-6.9068342802302
1.7599999904633	-6.8828290536925
1.7630000114441	-6.8593107082399
1.7660000324249	-6.8363039588718
1.7690000534058	-6.8138277524602
1.7719999551773	-6.7919034687071
1.7749999761581	-6.7705487099199
1.7779999971390	-6.7497835102241
1.7810000181198	-6.7296241912260
1.7840000391006	-6.7100859638900
1.7869999408722	-6.6911858069247
1.7899999618530	-6.6729372027958
1.7929999828339	-6.6553556283971
1.7960000038147	-6.6384541436191
1.7990000247955	-6.6222433309610
1.8020000457764	-6.6067371111820
1.8049999475479	-6.5919439721755
1.8079999685287	-6.5778745659719
1.8109999895096	-6.5645382210169
1.8140000104904	-6.5519442543906
1.8170000314713	-6.5400991751385
1.8200000524521	-6.5290126632601
1.8229999542236	-6.5186875094589
1.8259999752045	-6.5091324464347
1.8289999961853	-6.5003520591467
1.8320000171661	-6.4923503628730
1.8350000381470	-6.4851309300890
1.8380000591278	-6.4786962879144
1.8409999608994	-6.4730517006583
1.8439999818802	-6.4681958943097
1.8470000028610	-6.4641335392019
1.8500000238419	-6.4608621245394
1.8530000448227	-6.4583836897791
1.8559999465942	-6.4566976173312
1.8589999675751	-6.4558018892335
1.8619999885559	-6.4556957801796
1.8650000095367	-6.4563771488713
1.8680000305176	-6.4578413449638
1.8710000514984	-6.4600870016644
1.8739999532700	-6.4631086026487
1.8769999742508	-6.4669024959445
