"SINGLE TISSUE, FREQUENCY RANGE","TISSUE: ",BrainWhiteMatter
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
BrainWhiteMatter  ,   2.3300e+9,   1.1555e+0,   3.6311e+1,   2.4549e-1,   2.1196e-2,   2.7891e-2,
BrainWhiteMatter  ,   2.3600e+9,   1.1702e+0,   3.6274e+1,   2.4570e-1,   2.0936e-2,   2.7527e-2,
BrainWhiteMatter  ,   2.3900e+9,   1.1850e+0,   3.6238e+1,   2.4594e-1,   2.0684e-2,   2.7169e-2,
BrainWhiteMatter  ,   2.4200e+9,   1.1999e+0,   3.6202e+1,   2.4620e-1,   2.0437e-2,   2.6818e-2,
BrainWhiteMatter  ,   2.4500e+9,   1.2150e+0,   3.6167e+1,   2.4647e-1,   2.0196e-2,   2.6473e-2,
BrainWhiteMatter  ,   2.4800e+9,   1.2301e+0,   3.6131e+1,   2.4677e-1,   1.9962e-2,   2.6134e-2,
BrainWhiteMatter  ,   2.5100e+9,   1.2454e+0,   3.6096e+1,   2.4710e-1,   1.9732e-2,   2.5802e-2,
BrainWhiteMatter  ,   2.5400e+9,   1.2608e+0,   3.6061e+1,   2.4743e-1,   1.9508e-2,   2.5475e-2,
BrainWhiteMatter  ,   2.5700e+9,   1.2763e+0,   3.6026e+1,   2.4779e-1,   1.9290e-2,   2.5154e-2,
BrainWhiteMatter  ,   2.6000e+9,   1.2919e+0,   3.5991e+1,   2.4817e-1,   1.9076e-2,   2.4838e-2,
BrainWhiteMatter  ,   2.6300e+9,   1.3076e+0,   3.5956e+1,   2.4857e-1,   1.8867e-2,   2.4528e-2,
BrainWhiteMatter  ,   2.6600e+9,   1.3235e+0,   3.5922e+1,   2.4898e-1,   1.8662e-2,   2.4224e-2,
BrainWhiteMatter  ,   2.6900e+9,   1.3394e+0,   3.5888e+1,   2.4940e-1,   1.8463e-2,   2.3924e-2,
BrainWhiteMatter  ,   2.7200e+9,   1.3555e+0,   3.5854e+1,   2.4985e-1,   1.8267e-2,   2.3630e-2,
